Original,,,aWhere,,,,,,,,,,,
Village_Sun_colline,Latitude.original,longtitude.original,Latitude.awhere,longtitude.awhere,lat_d,lat_m,lat_o,lat_decimal,lon_d,lon_m,lon_o,lon_decimal,,
182,2513998,2.85E+11,2513998000,2.85E+16,2,51,3998000,-2.85,28,47,7.10E+13,28.78333333,,
183,2507909,28469155,2507909000,2846915500,2,50,7909000,-2.833333333,28,46,6915500,28.76666667,,
184,2508376,28468848,2508376000,2846884800,2,50,8376000,-2.833333333,28,46,6884800,28.76666667,,
185,2503069,28451204,2503069000,2845120400,2,50,3069000,-2.833333333,28,45,5120400,28.75,,
186,2501895,28450545,2501895000,2845054500,2,50,1895000,-2.833333333,28,45,5054500,28.75,,
187,2502166,28451020,2502166000,2845102000,2,50,2166000,-2.833333333,28,45,5102000,28.75,,
188,2502341,28450419,2502341000,2845041900,2,50,2341000,-2.833333333,28,45,5041900,28.75,,
189,.,.,0,0,0,0,0,0,0,0,0,0,,
190,2442110,28410987,2442110000,2841098700,2,44,2110000,-2.733333333,28,41,1098700,28.68333333,,
191,2463760,28403976,2463760000,2840397600,2,46,3760000,-2.766666667,28,40,397600,28.66666667,,
192,2458519,28403601,2458519000,2840360100,2,45,8519000,-2.75,28,40,360100,28.66666667,,
193,2413570,28342294,2413570000,2834229400,2,41,3570000,-2.683333333,28,34,4229400,28.56666667,,
194,2423182,28346776,2423182000,2834677600,2,42,3182000,-2.7,28,34,4677600,28.56666667,,
195,2513993,28470989,2513993000,2847098900,2,51,3993000,-2.85,28,47,7098900,28.78333333,,
196,2507743,28469218,2507743000,2846921800,2,50,7743000,-2.833333333,28,46,6921800,28.76666667,,
197,2509274,28469865,2509274000,2846986500,2,50,9274000,-2.833333333,28,46,6986500,28.76666667,,
198,2505052,28447814,2505052000,2844781400,2,50,5052000,-2.833333333,28,44,4781400,28.73333333,,
199,2502278,28443496,2502278000,2844349600,2,50,2278000,-2.833333333,28,44,4349600,28.73333333,,
200,2502573,2844036,2502573000,2844036000,2,50,2573000,-2.833333333,28,44,4036000,28.73333333,,
201,2510475,28446480,2510475000,2844648000,2,51,475000,-2.85,28,44,4648000,28.73333333,,
211,2505759,28444854,2505759000,2844485400,2,50,5759000,-2.833333333,28,44,4485400,28.73333333,,
212,2505820,28447878,2505820000,2844787800,2,50,5820000,-2.833333333,28,44,4787800,28.73333333,,
213,2150144,28488069,2150144000,2848806900,2,15,144000,-2.25,28,48,8806900,28.8,,
214,2211460,28471976,2211460000,2847197600,2,21,1460000,-2.35,28,47,7197600,28.78333333,,
215,2212825,28474088,2212825000,2847408800,2,21,2825000,-2.35,28,47,7408800,28.78333333,,
